"","unit","edm_id","YEAR","SKELETAL.ELEMENT","REFIT","CLASS","ORDER","FAMILY","GENUS","SPECIES","area","geo","edm_suffix","x","y","z","edm_best","spit","surface","exc","dip_clock","orient_clock","dip_degree","orient_degree","dip_comp","orient_comp","length","width","thickness","comment","date","time","geo_takis","geo_description","plunge","bearing"
"2","937/673",27,2015,"pelvis (west)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,937.179,673.674,349.316,"Elephant bone","","","",2,7,22,196,"",NA,NA,NA,NA,"pelvis (west)","2015-06-03","14:52:09","UA4","",22,196
"3","937/675",15,2015,"thoracic vertebra",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,937.343,675.317,349.48,"Elephant bone","","","",1,14,0,46,"",NA,NA,NA,NA,"thoracic vertebra","2015-05-30","10:02:06","UA4","",0,46
"4","937/675",21,2015,"caudal vertebra",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,938.06,675.04,349.36,"Elephant bone","","","",2,8,22,226,"",NA,NA,NA,NA,"caudal vertebra","2015-06-02","18:52:48","UA4","",22,226
"5","938/672",20,2016,"caudal vertebra",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,938.449,672.713,349.148,"Elephant bone","","","EM",2,1,22,16,"",NA,NA,NA,NA,"caudal vertebra","2016-04-13","08:55:35","UA4","",22,16
"6","938/673",19,2015,"tibia sin",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,938.581,673.498,349.278,"Elephant bone","","","",1,14,0,46,"",NA,NA,NA,NA,"tibia sin.","2015-06-02","09:13:13","UA4","",0,46
"8","938/674",35,2015,"calcaneus dex",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,938.735,674.839,349.331,"Elephant bone","","","",1,14,0,46,"5 E",65,NA,NA,NA,"calcaneus dex.","2015-05-29","09:44:24","UA4","",0,46
"9","938/674",37,2015,"pelvis (east)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,938.488,674.085,349.347,"Elephant bone","","","",1,18,0,346,"",NA,NA,NA,NA,"pelvis (east)","2015-06-01","09:24:34","UA4","",0,346
"10","938/675",41,2015,"rib (complete)",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,938.004,675.612,349.348,"Elephant bone","1","","",3,2,45,46,"",NA,NA,NA,NA,"rib","2015-06-02","18:41:28","UA4","",45,46
"14","939/673",33,2015,"calcaneus sin",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,939.205,673.265,349.224,"Elephant bone","","","",1,15,0,76,"",NA,NA,NA,NA,"calcaneus sin.","2015-05-26","12:27:48","UA4","",0,76
"15","939/673",35,2015,"metatarsal IV sin",NA,"Mammalia","Proboscidea","Elephantidae","Elephas (skeleton)","antiquus","A","6",0,939.06,673.527,349.089,"Elephant bone","","","",1,13,0,16,"",NA,NA,NA,NA,"metatarsale IV sin.","2015-05-27","12:04:30","UA4","",0,16
