"","area","unit","geo","edm_id","edm_suffix","x","y","z","edm_best","spit","surface","exc","dip_clock","orient_clock","dip_degree","orient_degree","dip_comp","orient_comp","length","width","thickness","comment","date","time","geo_takis","geo_description","plunge","bearing","elong_index"
"67","A","937/672","6",8,0,937.657,672.659,349.163,"HZ","1","","EM",1,16,0,106,"",NA,520,15,3,"","2016-03-31","10:00:37","UA4","",0,106,34.6666666666667
"74","A","937/672","6",11,0,937.628,672.742,349.152,"HZ","2","","EM",1,16,0,106,"",NA,490,15,3,"","2016-03-31","11:28:56","UA4","",0,106,32.6666666666667
"76","A","937/672","6",12,0,937.908,672.723,349.117,"HZ","2","","EM",1,14,0,46,"",NA,100,25,5,"","2016-04-02","08:56:44","UA4","",0,46,4
"78","A","937/672","6",13,0,937.891,672.61,349.107,"HZ","2","","EM",2,4,22,106,"",NA,40,23,5,"","2016-04-02","08:58:57","UA4","",22,106,1.73913043478261
"93","A","937/672","6",15,0,937.938,672.673,349.11,"HZ","2","","EM",2,4,22,106,"",NA,480,20,15,"","2016-04-02","09:10:17","UA4","",22,106,24
"102","A","937/672","6",14,0,937.757,672.505,349.167,"HZ","2","","EM",1,18,0,346,"",NA,110,35,15,"","2016-04-02","09:00:37","UA4","",0,346,3.14285714285714
"272","A","937/673","6",21,0,937.114,673.843,349.182,"HZ","1","","EM",4,6,67,166,"",NA,105,60,35,"","2015-05-27","10:19:51","UA4","",67,166,1.75
"1710","A","937/673","6",32,0,937.279,673.02,349.215,"HZ","2","","EM",1,18,0,346,"",NA,160,40,50,"broken intentionally at profile","2016-03-22","12:45:04","UA4","",0,346,4
"1743","A","937/673","6",35,0,937.035,673.405,349.128,"HZ","3","","EM",2,9,22,256,"",NA,650,80,30,"broken intentionally at profile","2016-03-23","11:00:43","UA4","",22,256,8.125
"1788","A","937/674","6",11,0,937.386,674.131,349.303,"KN","1","","EO",2,8,22,226,"20 SW",232,103,42,20,"dip 2 and 6","2015-05-28","13:50:16","UA4","",22,226,2.45238095238095
"1878","A","937/675","6",9,0,937.42,675.7,349.399,"HZ","1","","EO",2,1,22,16,"",NA,560,30,3,"","2015-05-25","14:03:57","UA4","",22,16,18.6666666666667
"2663","A","938/672","6",10,0,938.277,672.923,349.135,"HZ","2","","EM",2,7,22,196,"",NA,130,30,12,"","2016-04-01","09:49:03","UA4","",22,196,4.33333333333333
"2665","A","938/672","6",11,0,938.137,672.697,349.048,"HZ","2","","EM",3,10,45,286,"",NA,440,40,20,"","2016-04-01","09:53:02","UA4","",45,286,11
"2670","A","938/672","6",12,0,938.059,672.829,349.068,"HZ","2","","EM",2,12,22,346,"",NA,230,50,12,"","2016-04-01","09:59:06","UA4","",22,346,4.6
"2681","A","938/672","6",15,0,938.472,672.65,349.151,"HZ","2","","EM",2,2,22,46,"",NA,230,50,18,"","2016-04-01","10:34:53","UA4","",22,46,4.6
"2703","A","938/672","6",13,0,938.066,672.654,349.08,"HZ","2","","EM",3,10,45,286,"",NA,580,45,10,"","2016-04-01","10:08:11","UA4","",45,286,12.8888888888889
"2986","A","938/673","6",16,0,938.495,673.3,349.189,"HZ","1","","EM",1,13,0,16,"",NA,185,14,5,"","2015-05-27","13:01:31","UA4","",0,16,13.2142857142857
"3585","A","938/673","6",20,0,938.942,673.12,349.224,"HZ","","","",1,18,0,346,"",NA,700,200,20,"fragment, rest in profile","2015-06-02","14:02:10","UA4","",0,346,3.5
"6590","A","938/675","6",36,0,938.349,675.634,349.311,"HZ","1","","PT",1,15,0,76,"",NA,360,50,NA,"","2015-05-21","13:44:43","UA4","",0,76,7.2
"6595","A","938/675","6",39,0,938.132,675.255,349.283,"KN","1","","PT",1,13,0,16,"",NA,68,15,NA,"","2015-05-22","12:27:03","UA4","",0,16,4.53333333333333
"7777","A","939/673","6",29,0,939.601,673.601,349.102,"KN","1","","GK",1,18,0,346,"",NA,120,35,30,"bone fragment","2015-05-26","09:24:31","UA4","",0,346,3.42857142857143
"9760","A","939/674","6",76,0,939.533,674.032,349.143,"KN","3","","LS",1,13,0,16,"5 N",11,70,42,14,"","2015-05-29","12:43:07","UA4","",0,16,1.66666666666667
"10409","A","939/675","6",48,0,939.381,675.064,349.31,"HZ","1","","LS",1,18,0,346,"",NA,85,40,12,"","2015-05-20","13:46:47","UA4","",0,346,2.125
