area,unit,geo,edm_id,edm_suffix,x,y,z,edm_best,spit,surface,exc,dip,orient,dip_comp,orient_comp,length,width,thickness,comment,date,time,geo_takis,geo_description
A,937/672,6,7,0,937.508,672.986,349.251,OFB,1,natural,EM,NA,NA,,NA,NA,NA,NA,Start Spit 1,2016-03-30,11:19:40,UA4,
A,937/672,6,7,2,937.513,672.517,349.25,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2016-03-30,11:20:52,UA4,
A,937/672,6,7,3,937.97,672.516,349.257,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2016-03-30,11:21:14,UA4,
A,937/672,6,7,1,937.98,673.014,349.258,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2016-03-30,11:20:31,UA4,
A,937/673,6,19,0,937.025,673.96,349.277,OF,1,natural,EM,NA,NA,,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:52:53,UA4,
A,937/673,6,19,1,937.449,673.952,349.284,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:54:19,UA4,
A,937/673,6,19,2,937.444,673.767,349.288,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:54:39,UA4,
A,937/673,6,19,4,937.185,673.511,349.266,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:55:20,UA4,
A,937/673,6,19,5,937.332,673.409,349.269,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:55:35,UA4,
A,937/673,6,19,6,937.448,673.359,349.278,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:55:49,UA4,
A,937/673,6,19,3,937.15,673.693,349.272,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:55:07,UA4,
A,937/673,6,19,8,937.672,673.612,349.261,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:56:16,UA4,
A,937/673,6,19,9,937.872,673.955,349.266,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:56:29,UA4,
A,937/673,6,19,10,938.008,673.949,349.252,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:56:42,UA4,
A,937/673,6,19,7,937.756,673.585,349.275,OF,1,natural,EM,NA,NA, ,NA,NA,NA,NA,Start Spit 1,2015-05-25,12:56:10,UA4,
