"","area","unit","geo","edm_id","edm_suffix","x","y","z","edm_best","spit","surface","exc","dip_clock","orient_clock","dip_degree","orient_degree","dip_comp","orient_comp","length","width","thickness","comment","date","time","geo_takis","geo_description","plunge","bearing","elong_index"
"28520","B","932/596","UB4b",12,0,932.621,596.542,350.824,"KN","1","","ES",4,4,67,106,"24 E",110,30,14,5,"long bone fragment","2016-03-26","10:41:02","UB4c","",67,106,2.14285714285714
"28986","B","932/597","UB4b",61,0,932.828,597.396,350.336,"KN","9","","TP",2,10,22,286,"",NA,45,18,2,"bird bone","2016-04-13","14:06:03","UB4c","",22,286,2.5
"29189","B","932/598","Ub4b",53,0,932.62,598.246,350.446,"KN","6","","ER",2,12,22,346,"30 N",340,57,18,14,"bone fragment","2016-04-08","14:44:14","UB4c","",22,346,3.16666666666667
"29259","B","932/598","UB4b",72,0,932.779,598.523,350.322,"KN","8","","ER",1,18,0,346,"0",170,70,15,NA,"bone fragment","2016-04-12","14:45:17","UB4c","",0,346,4.66666666666667
"29286","B","932/598","UB4b",20,0,932.061,598.205,350.666,"KN","2","","ER",1,13,0,16,"0",142,27,4,4,"Bird bone","2016-03-28","14:43:57","UB4c","",0,16,6.75
"29299","B","932/598","UB4b",78,0,932.756,598.287,350.289,"KN","9","","ER",2,12,22,346,"",NA,58,33,9,"bone fragment","2016-04-13","11:14:17","UB4c","",22,346,1.75757575757576
"29303","B","932/598","UB4b",24,0,932.666,598.478,350.608,"LI","2","","ER",2,3,22,76,"20 W",250,32,20,10,"complete retouched flake, radiolarite","2016-03-29","10:27:04","UB4c","",22,76,1.6
"29674","B","932/599","1",64,0,932.109,599.734,350.359,"KN","9","","GM",2,11,22,316,"28 S",192,190,50,10,"","2015-06-03","11:42:52","UB4c","Mudflow",22,316,3.8
"29681","B","932/599","1",60,0,932.204,599.187,350.377,"KN","8","","TKN",2,1,22,16,"",NA,47,24,5,"very weathered","2015-06-03","10:41:23","UB4c","Mudflow",22,16,1.95833333333333
"29686","B","932/599","1",16,0,932.109,599.861,350.615,"KN","3","","TKN",2,12,22,346,"20 S",168,26,12,1,"long bone fragment","2015-05-29","08:25:53","UB4c","Mudflow",22,346,2.16666666666667
"29690","B","932/599","1",63,0,932.764,599.755,350.345,"KN","9","","AV",1,17,0,136,"",NA,35,20,13,"","2015-06-03","11:39:31","UB4c","Mudflow",0,136,1.75
"29693","B","932/599","1",61,0,932.781,599.254,350.374,"HZ","8","","TKN",1,17,0,136,"",NA,135,41,20,"","2015-06-03","10:50:25","UB4c","Mudflow",0,136,3.29268292682927
"29771","B","932/600","1",60,0,932.455,600.175,350.312,"KN","9","","DV",2,8,22,226,"",NA,35,17,12,"","2015-06-01","11:51:41","UB4c","Mudflow",22,226,2.05882352941176
"29803","B","932/600","1",50,0,932.332,600.674,350.331,"KN","8","","DV",3,11,45,316,"",NA,52,15,1,"","2015-05-29","12:43:25","UB4c","Mudflow",45,316,3.46666666666667
"29818","B","932/600","1",59,0,932.248,600.852,350.298,"KN","9","","DV",2,7,22,196,"",NA,35,11,15,"bone fagment","2015-06-01","10:03:40","UB4c","Mudflow",22,196,3.18181818181818
"29825","B","932/600","1",41,0,932.317,600.927,350.373,"LOST.KN","6","","GM",2,6,22,166,"24 S",160,90,20,3,"Spit 6 from 932/601, where it mostly lays","2015-05-28","13:01:55","UB4c","Mudflow",22,166,4.5
"29838","B","932/600","1",47,0,932.862,600.215,350.334,"KN","8","","ER",2,2,22,46,"20 SW",220,82,38,3,"","2015-05-29","10:12:26","UB4c","Mudflow",22,46,2.15789473684211
"29865","B","932/600","1",19,0,932.128,600.788,350.514,"LI","4","","DV",1,18,0,346,"",NA,38,18,7,"limestone, flake","2015-05-25","13:02:18","UB4c","Mudflow",0,346,2.11111111111111
"29874","B","932/600","1",61,0,932.619,600.159,350.304,"KN","9","","DV",1,14,0,46,"10 SW",220,68,29,6,"","2015-06-01","13:23:27","UB4c","Mudflow",0,46,2.3448275862069
"30002","B","932/601","1",36,0,932.713,601.646,350.347,"ZN","7","","GM",2,5,22,136,"",NA,40,25,2,"ivory","2015-05-29","07:58:24","UB4c","Mudflow",22,136,1.6
"30028","B","932/601","1",39,0,932.138,601.046,350.334,"KN","7","","GM",4,2,67,46,"",NA,49,30,2,"","2015-05-29","10:25:07","UB4c","Mudflow",67,46,1.63333333333333
"30052","B","932/601","1",48,0,932.538,601.442,350.275,"KN","8","","AV",6,15,90,76,"",NA,49,25,11,"","2015-06-01","11:00:24","UB4c","Mudflow",90,76,1.96
"30095","B","932/601","1",19,0,932.186,601.913,350.498,"LI","4","","GM",2,3,22,76,"",NA,20,10,5,"radiolarite, flake","2015-05-27","07:52:42","UB4c","Mudflow",22,76,2
"30102","B","932/601","1",33,0,932.053,601.397,350.394,"ZN","6","","GM",4,2,67,46,"",NA,30,10,2,"ivory","2015-05-28","11:52:35","UB4c","Mudflow",67,46,3
"30127","B","932/601","1",57,0,932.218,601.347,350.26,"KN","9","","AV",2,2,22,46,"20 N",30,95,18,15,"","2015-06-02","11:42:42","UB4c","Mudflow",22,46,5.27777777777778
"30225","B","932/602","1",37,0,932.642,602.016,350.351,"LI","6","","GM",3,7,45,196,"",NA,20,11,5,"radiolarite, flake","2015-05-29","11:14:16","UB4c","Mudflow",45,196,1.81818181818182
"30234","B","932/602","1",38,0,932.346,602.081,350.371,"KN","6","","GM",3,9,45,256,"",NA,29,6,4,"","2015-05-29","11:17:24","UB4c","Mudflow",45,256,4.83333333333333
"30260","B","932/602","1",31,0,932.687,602.877,350.398,"KN","5","","GM",2,3,22,76,"",NA,30,10,15,"","2015-05-28","08:06:25","UB4c","Mudflow",22,76,3
"31334","B","932/604","F",45,0,932.294,604.811,350.357,"KN","2","","JH",4,8,67,226,"60 SW",214,68,17,6,"","2015-05-18","13:54:39","UB4c","",67,226,4
"31551","B","933/594","4",97,0,933.601,594.082,350.428,"KN","4","","TKN",3,12,45,346,"30 N",30,28,15,8,"","2015-05-19","11:45:45","UB4c","Mudflow",45,346,1.86666666666667
"31559","B","933/594","4",106,0,933.571,594.121,350.349,"ZN","5","","TKN",3,6,45,166,"62 SE",140,48,30,2,"hippopotamus tusk","2015-05-20","11:37:02","UB4c","Mudflow",45,166,1.6
