area,unit,geo,edm_id,edm_suffix,x,y,z,edm_best,spit,surface,exc,dip_clock,orient_clock,dip_degree,orient_degree,dip_comp,orient_comp,length,width,thickness,comment,date,time,geo_takis,geo_description,plunge,bearing,elong_index
B,932/595,UB4b,24,0,932.016,595.876,350.709,HZ,4,,DG,NA,NA,NA,NA,0,150,105,30,20,,2016-03-28,10:57:28,UB4c,,0,150,3.5
B,932/595,UB4b,80,0,932.441,595.966,350.364,HZ,10,,DG,NA,NA,NA,NA,8 E,94,110,37,5,,2016-04-06,14:28:10,UB4c,,8,94,2.972972973
B,932/595,UB4b,81,0,932.439,595.781,350.3,KN,10,,DG,NA,NA,NA,NA,30 E,84,25,15,7,"bone fragment, refit with ID 82!",2016-04-07,09:53:49,UB4c,,30,84,1.6666666667
B,932/595,UB4b,57,0,932.229,595.483,350.472,KN,8,,DG,NA,NA,NA,NA,50 N,354,45,14,3,bone flake?,2016-03-31,12:48:51,UB4c,,50,354,3.2142857143
B,932/595,UB4b,60,0,932.831,595.028,350.47,KN,8,,YS,NA,NA,NA,NA,10 E,252,46,23,6,bone fragment,2016-03-31,15:12:22,UB4c,,10,252,2
B,932/595,UB4b,32,0,932.28,595.293,350.634,KN,5,,DG,NA,NA,NA,NA,60 NW,320,64,18,13,bone fragment,2016-03-29,11:22:34,UB4c,,60,320,3.5555555556
B,932/595,UB4b,73,0,932.262,595.917,350.369,KN,9,,DG,NA,NA,NA,NA,4 S,170,35,15,4,bone fragment,2016-04-05,10:37:51,UB4c,,4,170,2.3333333333
B,932/595,UB4b,40,0,932.885,595.162,350.591,KN,6,,YS,NA,NA,NA,NA,0,164,39,24,2,carapace fragment,2016-03-30,09:25:34,UB4c,,0,164,1.625
B,932/595,UB4b,33,0,932.217,595.45,350.621,HZ,5,,DG,NA,NA,NA,NA,30 NE,60,100,30,10,,2016-03-29,11:49:30,UB4c,,30,60,3.3333333333
B,932/595,UB4b,65,0,932.629,595.935,350.361,KN,9,,YS,NA,NA,NA,NA,18 NW,290,177,23,10,long bone fragment,2016-04-01,12:00:12,UB4c,,18,290,7.6956521739
B,932/596,UB4b,12,0,932.621,596.542,350.824,KN,1,,ES,4,4,67,106,24 E,110,30,14,5,long bone fragment,2016-03-26,10:41:02,UB4c,,24,110,2.1428571429
B,932/596,UB4b,53,0,932.978,596.076,350.459,HZ,7,,DG,NA,NA,NA,NA,8 NE,54,120,28,8,,2016-04-08,14:01:47,UB4c,,8,54,4.2857142857
B,932/596,UB4b,66,0,932.476,595.992,350.368,HZ,8,,TP,NA,NA,NA,NA,0,80,110,25,10,,2016-04-09,11:30:22,UB4c,,0,80,4.4
B,932/596,UB4b,54,0,932.867,596.389,350.372,HZ,7,,DG,NA,NA,NA,NA,8 S,158,105,35,5,,2016-04-08,14:54:20,UB4c,,8,158,3
B,932/596,UB4b,38,0,932.272,596.159,350.575,KN,5,,NT,NA,NA,NA,NA,40 W,260,39,10,5,bird long bone,2016-04-05,12:31:31,UB4c,,40,260,3.9
B,932/596,UB4b,68,0,932.233,596.809,350.261,KN,9,,TP,NA,NA,NA,NA,28 SE,120,160,38,32,long bone fragment,2016-04-11,14:44:36,UB4c,,28,120,4.2105263158
B,932/596,UB4b,79,0,932.478,596.965,350.278,KN,9,,TP,NA,NA,NA,NA,12 E,108,69,12,9,complete metapodium,2016-04-14,08:54:10,UB4c,,12,108,5.75
B,932/598,Ub4b,53,0,932.62,598.246,350.446,KN,6,,ER,2,12,22,346,30 N,340,57,18,14,bone fragment,2016-04-08,14:44:14,UB4c,,30,340,3.1666666667
B,932/598,UB4b,30,0,932.87,598.538,350.6,HZ,3,,ER,NA,NA,NA,NA,10 S,0,129,70,24,,2016-03-30,12:19:59,UB4c,,10,0,1.8428571429
B,932/598,UB4b,72,0,932.779,598.523,350.322,KN,8,,ER,1,18,0,346,0,170,70,15,NA,bone fragment,2016-04-12,14:45:17,UB4c,,0,170,4.6666666667
B,932/598,UB4b,73,0,932.843,598.557,350.296,HZ,8,,ER,NA,NA,NA,NA,10 NE,30,255,65,13,,2016-04-12,15:08:48,UB4c,,10,30,3.9230769231
B,932/598,UB4b,20,0,932.061,598.205,350.666,KN,2,,ER,1,13,0,16,0,142,27,4,4,Bird bone,2016-03-28,14:43:57,UB4c,,0,142,6.75
