,unit,area.x,edm_id,edm_suffix,x,y,z,edm_best,geo,geo_takis,spit,surface,exc,dip,orient,dip_comp,orient_comp,length,width,thickness,comment,date,time,geom,geo_description
802,932/595,B,86,72,932.335,595.204,350.393,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:11:17,,
803,932/595,B,86,15,932.017,595.691,350.385,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:01:53,,
804,932/595,B,86,1,932.034,595.923,350.376,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:00:58,,
805,932/595,B,86,32,932.838,595.479,350.345,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:03:06,,
806,932/595,B,86,70,932.483,595.111,350.42,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:10:49,,
807,932/595,B,86,2,932.089,595.897,350.365,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:01:01,,
808,932/595,B,86,0,932.024,595.942,350.406,OF,UB5a,UB5a,1,natural,DG,,,,,,,,Start Spit 1,2016-04-09,11:00:12,,
809,932/595,B,86,30,932.968,595.542,350.351,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:02:54,,
810,932/595,B,86,71,932.424,595.138,350.425,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:11:03,,
811,932/595,B,86,67,932.336,595.02,350.373,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:09:59,,
812,932/595,B,86,68,932.396,595.024,350.376,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:10:06,,
813,932/595,B,86,54,932.007,595.416,350.36,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:04:58,,
814,932/595,B,86,43,932.239,595.45,350.4,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:03:52,,
815,932/595,B,86,69,932.505,595.029,350.427,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:10:20,,
816,932/595,B,86,3,932.122,595.942,350.364,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:01:04,,
817,932/595,B,86,29,932.955,595.613,350.355,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:02:51,,
818,932/595,B,86,28,932.88,595.712,350.311,OF,UB5a,UB5a,1,natural,DG,,, ,,,,,Start Spit 1,2016-04-09,11:02:47,,
