x,y,z,edm_best,type,geo_takis,spit,length,width,thickness,unit,edm_id,date,class
937.6139259435,674.6071303222,349.5306359458,SF,debris,UA3c,1,NA,NA,NA,937/674,5,2015-05-18,Lithic
937.2180001639,674.3813774861,349.4885909716,SF,debris,UA3c,1,NA,NA,NA,937/674,5,2015-05-18,Lithic
937.7004894718,674.4666297912,349.5043948053,SF,debris,UA3c,1,NA,NA,NA,937/674,5,2015-05-18,Lithic
937.4849760072,674.8759296589,349.4440650353,SF,debris,UA3c,1,NA,NA,NA,937/674,5,2015-05-18,Lithic
937.852,674.463,349.365,LI,tool,UA3c,2,30,15,7,937/674,8,2015-05-27,Lithic
937.9504618646,672.6222373859,349.361362298,SFA,debris,UA3c,2,NA,NA,NA,938/672,4,2016-03-29,Lithic
938.9050771047,674.8170858158,349.873224597,SF,debris,UA3c,1,NA,NA,NA,938/674,14,2015-05-04,Lithic
938.1890419717,674.6456796921,349.649652204,SF,debris,UA3c,3,NA,NA,NA,938/674,19,2015-05-12,Lithic
938.1041935827,674.9599723909,349.6511956654,SF,debris,UA3c,3,NA,NA,NA,938/674,19,2015-05-12,Lithic
938.4405655336,674.2859739163,349.1266339012,SF,debris,UA3c/UA4,NA,NA,NA,NA,938/674,41,2015-06-03,Lithic
938.5996334692,675.1492989106,349.8326882248,SF,debris,UA3c,2,NA,NA,NA,938/675,16,2015-05-04,Lithic
938.7759436368,675.5542876493,349.7605473852,SF,debris,UA3c,2,NA,NA,NA,938/675,16,2015-05-04,Lithic
938.7776748432,675.2331898337,349.6034552933,SF,debris,UA3c,4,NA,NA,NA,938/675,23,2015-05-15,Lithic
939.499256302,673.5733531228,349.5773336622,SF,debris,UA3c,3,NA,NA,NA,939/673,13,2015-05-05,Lithic
939.3723359011,673.0817818533,349.454686255,SF,Indeterminate,UA3c,4,NA,NA,NA,939/673,16,2015-05-12,Lithic
939.9327593644,673.650938559,349.4628533188,SF,debris,UA3c,4,NA,NA,NA,939/673,16,2015-05-12,Lithic
939.9650214394,673.7386434347,349.2729781415,SF,debris,UA3c,7,NA,NA,NA,939/673,24,2015-05-22,Lithic
939.4275403168,675.0989612793,349.6545081215,SF,debris,UA3c,3,NA,NA,NA,939/675,29,2015-05-12,Lithic
939.2348926582,676.0093286236,349.4378716334,SF,debris,UA3c,6,NA,NA,NA,939/675,45,2015-05-20,Lithic
939.6816215955,675.4309947599,349.3793324831,SF,debris,UA3c,6,NA,NA,NA,939/675,45,2015-05-20,Lithic
939.1236836384,675.3743224494,349.3450550282,SF,debris,UA4,1,NA,NA,NA,939/675,53,2015-05-21,Lithic
939.5426925699,676.0840160479,349.3360215286,SF,debris,UA3c,6,NA,NA,NA,939/676,44,2015-05-27,Lithic
939.7187861548,677.6707569295,349.4196637758,SF,debris,UA3c,2,NA,NA,NA,939/677,9,2016-03-31,Lithic
939.0979754238,677.7746382688,349.4100232543,SF,debris,UA3c,2,NA,NA,NA,939/677,9,2016-03-31,Lithic
939.4605095612,677.2853345704,349.361745106,SF,debris,UA3c,3,NA,NA,NA,939/677,20,2016-04-02,Lithic
940.8837133642,673.4150395537,349.3386217312,SF,debris,UA3c,5,NA,NA,NA,940/673,28,2015-05-22,Lithic
940.6129708895,673.8740673858,349.1954429789,SF,debris,UA3c,6,NA,NA,NA,940/673,34,2015-05-26,Lithic
940.6455228815,674.0041208052,349.2281818072,SF,debris,UA3c,6,NA,NA,NA,940/673,34,2015-05-26,Lithic
940.7823010604,673.3867595169,349.2087269056,SF,debris,UA3c,6,NA,NA,NA,940/673,34,2015-05-26,Lithic
940.2653260247,673.3349309003,349.1994162593,SF,debris,UA3c,6,NA,NA,NA,940/673,34,2015-05-26,Lithic
940.1047588951,673.9384912981,349.0766906457,SF,debitage,UA4,1,NA,NA,NA,940/673,42,2015-06-02,Lithic
940.4838217726,674.3119224325,349.7848422687,SF,debris,UA3c,1,NA,NA,NA,940/674,12,2014-10-20,Lithic
940.0369282154,674.7602383696,349.7529547809,SF,debris,UA3c,1,NA,NA,NA,940/674,12,2014-10-20,Lithic
940.5532007786,674.3026611066,349.7759112727,SF,debris,UA3c,1,NA,NA,NA,940/674,12,2014-10-20,Lithic
940.3580808054,674.5761413964,349.7512966857,SF,debris,UA3c,1,NA,NA,NA,940/674,12,2014-10-20,Lithic
940.7372196194,674.9042869384,349.5779493245,SF,debris,UA3c,3,NA,NA,NA,940/674,18,2014-10-21,Lithic
940.0723169377,674.4710255749,349.5052720804,SF,debris,UA3c,4,NA,NA,NA,940/674,21,2014-10-22,Lithic
940.6749391164,674.4650917684,349.5273938354,SF,debris,UA3c,4,NA,NA,NA,940/674,21,2014-10-22,Lithic
940.481542907,674.5219152035,349.3453742856,SF,debris,UA3c,5,NA,NA,NA,940/674,24,2014-10-27,Lithic
940.4624665531,674.4258569733,349.3608285805,SF,debris,UA3c,5,NA,NA,NA,940/674,24,2014-10-27,Lithic
940.5140447312,674.8219115117,349.36116216,SF,debris,UA3c,5,NA,NA,NA,940/674,24,2014-10-27,Lithic
940.9335638937,675.0065345175,349.4122620253,SF,debris,UA3c,5,NA,NA,NA,940/674,24,2014-10-27,Lithic
940.669,675.981,349.327,LI,debris,UA4,1,9,NA,NA,940/675,34,2014-10-31,Lithic
940.6098051079,676.3376497337,349.3598194809,SF,debitage,UA3c,4,NA,NA,NA,940/676,36,2014-10-30,Lithic
