x,y,z,edm_best,type,geo_takis,spit,length,width,thickness,unit,edm_id,date,class
929.66,601.715,350.705,LI,tool,,NA,NA,NA,NA,929/601,1,2015-05-28,Lithic
932.0976809748,594.4715719959,350.8600580902,SFC,debris,UB4c,3,NA,NA,NA,932/594,19,2016-03-28,Lithic
932.5688186489,595.2497170554,350.8062400316,SFD,debris,UB4c,2,NA,NA,NA,932/595,14,2016-03-26,Lithic
932.6356105878,595.7621370594,350.7370135443,SFB,debris,UB4c,3,NA,NA,NA,932/595,20,2016-03-26,Lithic
932.5343412404,595.2469578598,350.7438056124,SFC,debris,UB4c,3,NA,NA,NA,932/595,22,2016-03-28,Lithic
932.4705965003,595.0795756716,350.7424373387,SFC,debris,UB4c,3,NA,NA,NA,932/595,22,2016-03-28,Lithic
932.8870165353,595.658162276,350.6574498665,SFB,debris,UB4c,5,NA,NA,NA,932/595,31,2016-03-29,Lithic
932.4650472735,595.2249830979,350.6504351089,SFC,debris,UB4c,5,NA,NA,NA,932/595,34,2016-03-29,Lithic
932.6599545481,595.4126739223,350.6104394054,SFD,debris,UB4c,5,NA,NA,NA,932/595,35,2016-03-29,Lithic
932.9515538338,595.3472242863,350.6097475201,SFD,debris,UB4c,5,NA,NA,NA,932/595,35,2016-03-29,Lithic
932.895,595.032,350.582,LI,debitage,UB4c,6,18,7,4,932/595,41,2016-03-30,Lithic
933.004306271,595.4867379296,350.5063421236,SFB,debris,UB4c,7,NA,NA,NA,932/595,45,2016-03-30,Lithic
932.313,595.556,350.484,LI,debitage,UB4c,8,12,9,3.5,932/595,53,2016-03-31,Lithic
932.0549554204,595.5572148868,350.4792243512,SFA,debris,UB4c,8,NA,NA,NA,932/595,55,2016-03-31,Lithic
932.823,595.505,350.46,LI,tool,UB4c,8,11,10,6,932/595,58,2016-03-31,Lithic
932.673222048,595.8787907892,350.3784316311,SFB,debris,UB4c,9,NA,NA,NA,932/595,67,2016-04-01,Lithic
932.263707592,595.1598878356,350.4034727816,SFC,debris,UB4c,9,NA,NA,NA,932/595,68,2016-04-01,Lithic
932.5001456643,595.0784027511,350.3941455868,SFD,debris,UB4c,9,NA,NA,NA,932/595,69,2016-04-01,Lithic
932.7864683269,595.1004465919,350.3650726007,SFD,debris,UB4c,9,NA,NA,NA,932/595,69,2016-04-01,Lithic
932.4506535443,595.4447935679,350.3886723906,SFD,debris,UB4c,9,NA,NA,NA,932/595,69,2016-04-01,Lithic
932.6112001672,595.243263883,350.3831175871,SFD,debris,UB4c,9,NA,NA,NA,932/595,69,2016-04-01,Lithic
932.091,595.582,350.391,LI,debitage,UB4c,9,10,9,4,932/595,70,2016-04-04,Lithic
932.214,595.572,350.345,LI,debitage,UB5a,1,NA,NA,NA,932/595,72,2016-04-04,Lithic
932.4518298959,595.6942743642,350.3986222283,SFA,debris,UB4c,9,NA,NA,NA,932/595,75,2016-04-05,Lithic
932.4098413229,595.5998398027,350.3584720085,SFA,debris,UB4c,9,NA,NA,NA,932/595,75,2016-04-05,Lithic
932.3232889541,595.9829176312,350.3804877985,SFA,debris,UB4c,9,NA,NA,NA,932/595,75,2016-04-05,Lithic
932.2391273467,595.6371304118,350.3564695612,SFA,debris,UB4c,9,NA,NA,NA,932/595,75,2016-04-05,Lithic
932.2124788182,595.7581216074,350.397856839,SFA,debris,UB4c,9,NA,NA,NA,932/595,75,2016-04-05,Lithic
932.792,595.765,350.343,LI,debitage,UB4c,10,11,9,7.5,932/595,77,2016-04-05,Lithic
932.534,595.508,350.343,LI,tool,UB4c,10,21,17,5,932/595,78,2016-04-06,Lithic
932.2706995091,595.688280861,350.3163584621,SFA,debris,UB4c,10,NA,NA,NA,932/595,83,2016-04-07,Lithic
932.609,596.617,350.68,LI,debris,UB4c,3,7,3,NA,932/596,21,2016-03-30,Lithic
932.8570575195,596.7916802392,350.6985973244,SFB,debris,UB4c,3,NA,NA,NA,932/596,23,2016-03-30,Lithic
932.538,596.53,350.677,LI,debitage,UB4c,3,19,8,3,932/596,24,2016-03-31,Lithic
932.3672569353,596.3884659584,350.6768546923,SFC,debris,UB4c,3,NA,NA,NA,932/596,26,2016-03-31,Lithic
932.527,596.242,350.655,LI,debitage,UB4c,4,18,11,6,932/596,29,2016-04-01,Lithic
932.2243310668,596.7456702095,350.6023939994,SFA,debris,UB4c,4,NA,NA,NA,932/596,30,2016-04-01,Lithic
932.4391361442,596.4840962844,350.5583011786,SFC,debitage,UB4c,5,NA,NA,NA,932/596,39,2016-04-05,Lithic
932.528,596.519,350.492,LI,debris,UB4c,6,8,6,NA,932/596,41,2016-04-07,Lithic
932.658054109,596.8683464796,350.4884504923,SFB,debitage,UB4c,6,NA,NA,NA,932/596,42,2016-04-07,Lithic
933.0478420389,596.279668519,350.5134827341,SFD,debitage,UB4c,6,NA,NA,NA,932/596,46,2016-04-08,Lithic
932.3881391873,596.177950613,350.3383206837,SFC,debris,UB4c,8,NA,NA,NA,932/596,58,2016-04-09,Lithic
932.874,596.196,350.338,LI,tool,UB4c,8,18,13,8,932/596,61,2016-04-11,Lithic
932.6919363372,596.120470017,350.3397169695,SFD,debris,UB4c,8,NA,NA,NA,932/596,62,2016-04-11,Lithic
932.7439023481,596.7981305019,350.3397578045,SFB,debris,UB4c,8,NA,NA,NA,932/596,63,2016-04-11,Lithic
932.9315920662,596.7795114624,350.3571362732,SFB,debris,UB4c,8,NA,NA,NA,932/596,63,2016-04-11,Lithic
932.0434400517,596.1014796734,350.3328603976,SFC,debris,UB4c,9,NA,NA,NA,932/596,70,2016-04-12,Lithic
932.789178009,596.7289012039,350.2762473404,SFB,debris,UB4c,9,NA,NA,NA,932/596,72,2016-04-12,Lithic
932.5591397516,596.805855568,350.3075589986,SFB,debris,UB4c,9,NA,NA,NA,932/596,72,2016-04-12,Lithic
932.1088265357,597.7940015643,350.75934184,SFA,debris,UB4c,1,NA,NA,NA,932/597,7,2016-03-26,Lithic
932.8528815515,597.8257488364,350.7531618579,SFB,debris,UB4c,1,NA,NA,NA,932/597,8,2016-03-26,Lithic
932.3913321008,597.2622772234,350.6601770096,SFC,debris,UB4c,3,NA,NA,NA,932/597,23,2016-03-31,Lithic
932.7627049183,597.4331504536,350.6794277687,SFD,debris,UB4c,3,NA,NA,NA,932/597,24,2016-03-31,Lithic
932.6096254874,597.2846001499,350.6392563369,SFD,debitage,UB4c,3,NA,NA,NA,932/597,24,2016-03-31,Lithic
932.6944838516,597.4526427923,350.6618313535,SFD,debitage,UB4c,3,NA,NA,NA,932/597,24,2016-03-31,Lithic
932.5774780708,597.9431789053,350.5904489945,SFB,debris,UB4c,4,NA,NA,NA,932/597,26,2016-04-01,Lithic
932.3642143833,597.167954658,350.6132631753,SFC,debris,UB4c,4,NA,NA,NA,932/597,29,2016-04-01,Lithic
932.1637814652,597.3365093318,350.6221638148,SFC,debris,UB4c,4,NA,NA,NA,932/597,29,2016-04-01,Lithic
932.1071669951,597.1918746693,350.6040766355,SFC,debitage,UB4c,4,NA,NA,NA,932/597,29,2016-04-01,Lithic
932.5010135731,597.1377227192,350.5896368042,SFD,debris,UB4c,4,NA,NA,NA,932/597,30,2016-04-01,Lithic
932.563,597.563,350.523,LI,debitage,UB4c,5,17,11,6,932/597,32,2016-04-04,Lithic
932.9127758003,597.3946161607,350.5623222015,SFD,debris,UB4c,5,NA,NA,NA,932/597,34,2016-04-04,Lithic
932.6170668447,597.9163250506,350.4607407597,SFB,debris,UB4c,7,NA,NA,NA,932/597,48,2016-04-11,Lithic
932.338,597.048,350.45,LI,debitage,UB4c,7,21,15,5,932/597,50,2016-04-11,Lithic
932.503,597.109,350.312,LI,tool,UB4c,9,19,18,8,932/597,63,2016-04-13,Lithic
932.229,597.228,350.339,LI,debitage,UB4c,9,18,5,3,932/597,64,2016-04-13,Lithic
932.191,598.996,350.745,LI,debitage,UB4c,1,18,16,4,932/598,4,2016-03-22,Lithic
932.425,598.523,350.74,LI,debris,UB4c,1,NA,NA,NA,932/598,10,2016-03-23,Lithic
